chosen,id,alt,display,feature,price,chid,,,,,,
0,1,0,0,0,4.6,0,,,,,,
0,1,1,0,0,3.7,0,,,,,,
1,1,2,0,0,5.2000001,0,,,,,,
0,1,3,0,0,3.4000002,0,,,,,,
0,1,0,0,0,4.6,1,,,,,,
0,1,1,0,0,4.3000001,1,,,,,,
1,1,2,0,0,5.2000001,1,,,,,,
0,1,3,0,0,4.4,1,,,,,,
0,1,0,0,0,4.6,2,,,,,,
0,1,1,0,1,2.5,2,,,,,,
1,1,2,0,0,4.6,2,,,,,,
0,1,3,0,0,4.8,2,,,,,,
0,1,0,0,0,4.6,3,,,,,,
0,1,1,0,0,3.7,3,,,,,,
1,1,2,0,0,5.2000001,3,,,,,,
0,1,3,0,0,3.4000002,3,,,,,,
0,1,0,0,0,4.6,4,,,,,,
0,1,1,0,0,2.9999999,4,,,,,,
1,1,2,0,1,4.6,4,,,,,,
0,1,3,0,0,4.8,4,,,,,,
0,1,0,0,0,5.0000001,5,,,,,,
0,1,1,0,0,2.9999999,5,,,,,,
1,1,2,0,0,4.6999998,5,,,,,,
0,1,3,0,0,2.9999999,5,,,,,,
0,1,0,0,0,5.0999999,6,,,,,,
0,1,1,0,0,3.0999999,6,,,,,,
1,1,2,0,0,4.6,6,,,,,,
0,1,3,1,1,4.1000001,6,,,,,,
1,1,0,0,0,4.6,7,,,,,,
0,1,1,0,0,3.4000002,7,,,,,,
0,1,2,0,0,4.6999998,7,,,,,,
0,1,3,0,0,3.0999999,7,,,,,,
0,1,0,0,0,5.0000001,8,,,,,,
0,1,1,0,0,3.4000002,8,,,,,,
1,1,2,0,0,4.6999998,8,,,,,,
0,1,3,0,0,3.0999999,8,,,,,,
0,1,0,0,0,5.0000001,9,,,,,,
0,1,1,0,0,3.4000002,9,,,,,,
1,1,2,0,0,5.0000001,9,,,,,,
0,1,3,1,0,2.8000001,9,,,,,,
0,1,0,0,0,4.5000002,10,,,,,,
0,1,1,0,0,3.2000002,10,,,,,,
1,1,2,0,0,5.0000001,10,,,,,,
0,1,3,0,0,4.1000001,10,,,,,,
0,1,0,0,0,5.0000001,11,,,,,,
0,1,1,0,0,3.7,11,,,,,,
1,1,2,0,0,5.0000001,11,,,,,,
0,1,3,0,0,3.4000002,11,,,,,,
0,1,0,0,0,5.0000001,12,,,,,,
0,1,1,0,0,3.7,12,,,,,,
1,1,2,0,0,5.2999999,12,,,,,,
0,1,3,0,0,3.7,12,,,,,,
0,1,0,0,0,5.2000001,13,,,,,,
0,1,1,0,0,3.7,13,,,,,,
1,1,2,1,0,3.5999998,13,,,,,,
0,1,3,0,0,3.7,13,,,,,,
0,2,0,0,0,4.6,14,,,,,,
0,2,1,0,0,3.7,14,,,,,,
1,2,2,0,0,5.2000001,14,,,,,,
0,2,3,0,0,3.7,14,,,,,,
0,2,0,0,0,4.6,15,,,,,,
1,2,1,0,0,3.0999999,15,,,,,,
0,2,2,0,0,5.2000001,15,,,,,,
0,2,3,0,0,3.4000002,15,,,,,,
0,2,0,0,0,4.6,16,,,,,,
1,2,1,0,0,1.7999999,16,,,,,,
0,2,2,0,0,5.2000001,16,,,,,,
0,2,3,0,0,3.4000002,16,,,,,,
0,2,0,0,1,4.6,17,,,,,,
0,2,1,0,0,3.0999999,17,,,,,,
1,2,2,0,0,4.1999999,17,,,,,,
0,2,3,0,0,3.5,17,,,,,,
0,2,0,0,0,5.0000001,18,,,,,,
0,2,1,0,0,3.4000002,18,,,,,,
1,2,2,0,0,5.0000001,18,,,,,,
0,2,3,0,0,3.0999999,18,,,,,,
0,2,0,0,0,4.4,19,,,,,,
0,2,1,0,0,3.7,19,,,,,,
1,2,2,0,0,4.3000001,19,,,,,,
0,2,3,0,0,3.4000002,19,,,,,,
0,2,0,0,0,5.0000001,20,,,,,,
0,2,1,0,0,3.7,20,,,,,,
1,2,2,0,0,3.9000001,20,,,,,,
0,2,3,0,0,3.7,20,,,,,,
0,3,0,0,0,4.6,21,,,,,,
1,3,1,0,0,2.8000001,21,,,,,,
0,3,2,0,0,5.2000001,21,,,,,,
